"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 06 14:30:37 IST 2023","Fri Oct 06 14:31:27 IST 2023","50230","","Test_08_Reporting","TestReporting","","","test_02_new_entry_1__1___Leather_Sheet_04____LT_SH_004____Mulchand___Sons___2000___2023_10_06___10___Excellent____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Oct 06 14:28:47 IST 2023","Fri Oct 06 14:29:41 IST 2023","53916","","Test_08_Reporting","TestReporting","","","test_01_new_entry_list_4__0___Metal_Buckle_004____MB_IT_004____Tamang_Suppliers___2000___2023_10_06___10___Excellent____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Receipt_png__","Check for new Entry"
"passed","Fri Oct 06 10:53:19 IST 2023","Fri Oct 06 10:53:33 IST 2023","13778","","Test_01_Login","TestLogin","","","test_03_login_Unsuccessful_with_invalid_username_1___frugal__latido_com_np____Test_103__","Login With Invalid Username"
"passed","Fri Oct 06 10:51:49 IST 2023","Fri Oct 06 10:52:03 IST 2023","14248","","Test_01_Login","TestLogin","","","test_01_LoginSuccessful_3___rohit13_latido_com_np____Test_123__","Login Successfully"
"passed","Fri Oct 06 14:48:40 IST 2023","Fri Oct 06 14:49:22 IST 2023","42266","","Test_09_MemberManagement","TestMemberManagement","","","test_05_login_newMember_5___UserTest_119____Order_Manager____user_logintest_auto119___9800000049___Siliguri____Test_123__","Check Loging after creating an user."
"passed","Fri Oct 06 14:39:50 IST 2023","Fri Oct 06 14:40:22 IST 2023","32529","","Test_09_MemberManagement","TestMemberManagement","","","test_03_edit_member_2___TestUser_107____Product_Manager____userEdit_auto107___9800000037___Siliguri____Test_123____TestUser_Edited__02____FACTORYMANAGER___9800000102_","Verify the edits are reflecting correctly after editing."
"passed","Fri Oct 06 13:58:29 IST 2023","Fri Oct 06 13:59:13 IST 2023","44161","","Test_06_Inventory","TestInventory","","","test_03_restocking_item_6___frugal_latido_com_np____Test_123___0___D_Buckle_004____DB_IT_004____Tamang_Suppliers___2000___2023_10_06___10___Bad____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Receipt_png__","Selecting a new Category and restocking the Items "
"passed","Fri Oct 06 12:25:07 IST 2023","Fri Oct 06 12:26:10 IST 2023","63068","","Test_03_Order","TestOrder","","","test_02_create_new_user_order_4___frugal_latido_com_np____Test_123___9881012192___abced_Test_192____testuser292_mail_com____2023_05_29____Siliguri____female____Exemplar__male_____Bronze_Mist_Antique____42____Golden_Antique____Black____Yes____40___5_6__4_4__5__46__8__12__11__7__1__9___Skin_Tight____Test_002____2023_10_29___100900_","Create an Order for new Customer "
"passed","Fri Oct 06 13:50:03 IST 2023","Fri Oct 06 13:50:44 IST 2023","41053","","Test_06_Inventory","TestInventory","","","test_02_Add_newCategory_item_1___frugal_latido_com_np____Test_123____Leather_Sheet_04____LT_SH_004____IT_LT_00_04____IT_AT_LT_00_04____Auto_Testing__01____Black____Performing_this_using_automation_scripts____30__50__1___E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Leather_sheet_jpg____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__3D_LeatherImage_jpg____Frugal_Automation____50_","Selecting a new Category from Category Carousel "
"passed","Fri Oct 06 15:06:51 IST 2023","Fri Oct 06 15:07:30 IST 2023","39089","","Test_10_ProductManagement","TestProductManagement","","","Add a new Product","Adding a new product into the List. "
"passed","Fri Oct 06 16:36:24 IST 2023","Fri Oct 06 16:36:48 IST 2023","24270","","Test_12_ProductCategory","TestProductCategory","","","test_04_add_product_subcategory_5___Product_Cat_edit_29____E___POM_for_Bottle__webapp_automation_automation__TestData__ProductCategory__SampleImage__sampel_leather_2_jpg____Product_Sub_category_29__","To verify Add new Product Sub-Category. "
"passed","Fri Oct 06 16:35:30 IST 2023","Fri Oct 06 16:35:53 IST 2023","23332","","Test_12_ProductCategory","TestProductCategory","","","test_04_add_product_subcategory_3___Product_Cat_edit_27____E___POM_for_Bottle__webapp_automation_automation__TestData__ProductCategory__SampleImage__sampel_leather_3_jpg____Product_Sub_category_27__","To verify Add new Product Sub-Category. "
"failed","Fri Oct 06 13:40:53 IST 2023","Fri Oct 06 13:41:16 IST 2023","22704","","Test_05_InventDashboard","TestInventDashboard","","","test_get_inventDash_details","Checking Dashboard data"
"passed","Fri Oct 06 14:40:25 IST 2023","Fri Oct 06 14:40:58 IST 2023","33698","","Test_09_MemberManagement","TestMemberManagement","","","test_03_edit_member_3___TestUser_108____Factory_Manager____userEdit_auto108___9800000038___Siliguri____Test_123____TestUser_Edited__03____PRODUCTMANAGER___9800000103_","Verify the edits are reflecting correctly after editing."
"passed","Fri Oct 06 14:36:01 IST 2023","Fri Oct 06 14:36:28 IST 2023","26553","","Test_09_MemberManagement","TestMemberManagement","","","test_01_Landing_memberManagement","Verify Landing Page."
